QuestionText,Values Text,Total,"Age - 18-34
(Millennial)","Age - 35+
(Non-Millennial)",NOY - 0-5,NOY - 6-20,NOY - 21+,Res - Yes,Res - No,Central - Yes,Central - No
Q3. Do you believe Austin is at risk of losing its appeal because of the rising cost of living?,"Yes, somewhat",0.32,0.38,0.29,0.34,0.34,0.3,0.35,0.3,0.35,0.32
Q3. Do you believe Austin is at risk of losing its appeal because of the rising cost of living?,Not really,0.11,0.11,0.11,0.2,0.12,0.07,0.09,0.13,0.09,0.12
Q3. Do you believe Austin is at risk of losing its appeal because of the rising cost of living?,Definitely not,0.02,0.02,0.02,0.03,0.01,0.02,0.01,0.02,0,0.02
Q3. Do you believe Austin is at risk of losing its appeal because of the rising cost of living?,Unsure,0.02,0.02,0.01,0.02,0,0.02,0.01,0.02,0.01,0.02
Q4. Has the rising cost of living in Austin limited how much of your earnings you've been able to put into personal savings?,Yes,0.66,0.76,0.6,0.67,0.6,0.69,0.72,0.59,0.7,0.64
Q4. Has the rising cost of living in Austin limited how much of your earnings you've been able to put into personal savings?,No,0.19,0.1,0.24,0.16,0.25,0.17,0.19,0.2,0.21,0.19
Q4. Has the rising cost of living in Austin limited how much of your earnings you've been able to put into personal savings?,Unsure,0.05,0.05,0.05,0.07,0.06,0.04,0.05,0.05,0.04,0.05
Q4. Has the rising cost of living in Austin limited how much of your earnings you've been able to put into personal savings?,Prefer not to answer,0,0,0.01,0,0.01,0,0.01,0,0,0.01
Q4. Has the rising cost of living in Austin limited how much of your earnings you've been able to put into personal savings?,Not applicable to me,0.09,0.08,0.1,0.1,0.09,0.09,0.03,0.15,0.06,0.11
Q5. Has your neighborhood experienced gentrification?,Yes,0.29,0.42,0.22,0.32,0.24,0.31,0.41,0.17,0.58,0.21
Q5. Has your neighborhood experienced gentrification?,No,0.62,0.45,0.71,0.52,0.7,0.61,0.49,0.74,0.35,0.69
Q5. Has your neighborhood experienced gentrification?,Unsure,0.09,0.13,0.07,0.16,0.06,0.08,0.1,0.09,0.07,0.1
"Q6. In your opinion, has gentrification helped or hurt your neighborhood?",Helped,0.32,0.36,0.28,0.22,0.46,0.3,0.33,0.31,0.28,0.35
"Q6. In your opinion, has gentrification helped or hurt your neighborhood?",Hurt,0.44,0.37,0.5,0.44,0.35,0.48,0.47,0.37,0.45,0.43
"Q6. In your opinion, has gentrification helped or hurt your neighborhood?",Unsure,0.24,0.27,0.22,0.34,0.2,0.22,0.21,0.32,0.26,0.22
"Q7. Should the City of Austin relax its development rules to allow for more types of housing to be built in the city such as town homes, garage apartments and other small apartment buildings?",Yes,0.57,0.65,0.53,0.63,0.59,0.54,0.59,0.56,0.6,0.57
"Q7. Should the City of Austin relax its development rules to allow for more types of housing to be built in the city such as town homes, garage apartments and other small apartment buildings?",No,0.23,0.16,0.27,0.17,0.23,0.27,0.23,0.23,0.2,0.24
"Q7. Should the City of Austin relax its development rules to allow for more types of housing to be built in the city such as town homes, garage apartments and other small apartment buildings?",Unsure,0.19,0.19,0.19,0.2,0.18,0.2,0.18,0.21,0.21,0.19
Q8. Would you support a 20% homestead exemption?,Yes,0.79,0.75,0.81,0.69,0.82,0.82,0.8,0.79,0.77,0.8
Q8. Would you support a 20% homestead exemption?,No,0.07,0.06,0.07,0.06,0.07,0.08,0.07,0.07,0.07,0.07
Q8. Would you support a 20% homestead exemption?,Unsure,0.14,0.19,0.11,0.25,0.12,0.1,0.14,0.14,0.16,0.13
Q9. Would you support a homestead exemption if it meant raising property taxes for industrial and commercial properties?,Yes,0.69,0.58,0.74,0.57,0.69,0.74,0.69,0.69,0.7,0.68
Q9. Would you support a homestead exemption if it meant raising property taxes for industrial and commercial properties?,No,0.13,0.14,0.12,0.15,0.13,0.12,0.13,0.12,0.14,0.13
Q9. Would you support a homestead exemption if it meant raising property taxes for industrial and commercial properties?,Unsure,0.18,0.27,0.14,0.28,0.19,0.14,0.18,0.19,0.16,0.19
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Technology,0.9,0.9,0.9,0.88,0.94,0.88,0.9,0.9,0.91,0.9
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Education,0.86,0.84,0.86,0.88,0.82,0.87,0.85,0.86,0.88,0.85
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),"Service industry (hotels, retail, restaurants, bars)",0.82,0.85,0.81,0.87,0.83,0.8,0.82,0.83,0.86,0.81
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Healthcare,0.79,0.79,0.8,0.79,0.76,0.82,0.77,0.82,0.75,0.81
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Entertainment/Festivals,0.78,0.82,0.77,0.83,0.81,0.75,0.78,0.79,0.82,0.77
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Entrepreneurial/Business Owner,0.77,0.76,0.78,0.84,0.8,0.73,0.78,0.77,0.84,0.76
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Transportation,0.76,0.8,0.74,0.81,0.71,0.77,0.72,0.79,0.74,0.77
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),"Federal, state or local government",0.74,0.72,0.75,0.73,0.75,0.74,0.75,0.73,0.78,0.73
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Real estate,0.74,0.77,0.72,0.78,0.68,0.76,0.74,0.74,0.73,0.74
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Communications,0.71,0.72,0.7,0.74,0.65,0.73,0.66,0.75,0.67,0.72
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),"Creative (design, fashion, art, music, writing)",0.71,0.81,0.65,0.77,0.72,0.67,0.74,0.67,0.77,0.69
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Energy or Utilities,0.68,0.75,0.64,0.71,0.59,0.71,0.66,0.69,0.63,0.69
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Law/Legal Services,0.54,0.61,0.51,0.6,0.46,0.57,0.53,0.55,0.5,0.55
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Accounting and Finance,0.53,0.61,0.49,0.57,0.5,0.53,0.49,0.56,0.51,0.54
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Manufacturing,0.51,0.53,0.5,0.48,0.48,0.55,0.45,0.57,0.38,0.55
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Oil and Gas,0.48,0.59,0.42,0.53,0.43,0.49,0.45,0.51,0.36,0.51
Q10. How important do you think the following industries are to Austin's economy? (Reporting Extremely/Very Important),Farming or Agriculture,0.38,0.46,0.35,0.48,0.34,0.37,0.35,0.42,0.34,0.4
Q11. How difficult do you think it is to get a good job in Austin?,Very difficult,0.18,0.16,0.19,0.17,0.14,0.21,0.2,0.16,0.18,0.18
Q11. How difficult do you think it is to get a good job in Austin?,Somewhat difficult,0.49,0.53,0.46,0.47,0.47,0.51,0.49,0.49,0.52,0.48
Q11. How difficult do you think it is to get a good job in Austin?,Not very difficult,0.24,0.24,0.24,0.26,0.28,0.21,0.24,0.24,0.24,0.24
Q11. How difficult do you think it is to get a good job in Austin?,Not difficult at all,0.05,0.04,0.05,0.07,0.07,0.03,0.04,0.06,0.03,0.05
Q11. How difficult do you think it is to get a good job in Austin?,Don't know,0.04,0.03,0.05,0.03,0.05,0.05,0.03,0.06,0.03,0.05
Q12. How important do you think start-up companies are to Austin's economy?,Extremely important,0.28,0.34,0.24,0.33,0.31,0.24,0.26,0.29,0.27,0.28
Q12. How important do you think start-up companies are to Austin's economy?,Very important,0.39,0.32,0.42,0.37,0.39,0.4,0.4,0.38,0.4,0.39
Q12. How important do you think start-up companies are to Austin's economy?,Somewhat important,0.28,0.27,0.28,0.24,0.24,0.32,0.31,0.25,0.28,0.28
Q12. How important do you think start-up companies are to Austin's economy?,Not very important,0.02,0.01,0.02,0,0.03,0.02,0.02,0.02,0.03,0.02
Q12. How important do you think start-up companies are to Austin's economy?,Not important at all,0,0.01,0,0.01,0,0,0,0.01,0,0
Q12. How important do you think start-up companies are to Austin's economy?,Don't know,0.03,0.05,0.02,0.05,0.03,0.02,0.02,0.05,0.01,0.04
"Q13. Do you think Austin should create city-specific incentive programs such as grants, tax reductions, loans and fee waivers to attract companies that bring or grow middle class jobs and/or train current residents for middle class jobs?",Yes,0.71,0.79,0.67,0.8,0.71,0.67,0.71,0.7,0.73,0.7
"Q13. Do you think Austin should create city-specific incentive programs such as grants, tax reductions, loans and fee waivers to attract companies that bring or grow middle class jobs and/or train current residents for middle class jobs?",No,0.15,0.08,0.19,0.09,0.16,0.18,0.14,0.16,0.13,0.16
"Q13. Do you think Austin should create city-specific incentive programs such as grants, tax reductions, loans and fee waivers to attract companies that bring or grow middle class jobs and/or train current residents for middle class jobs?",Unsure,0.14,0.13,0.14,0.11,0.13,0.15,0.14,0.13,0.14,0.14
"Q14. Do you support economic incentives for companies that provide manufacturing jobs that pay $60,000 or more annually to existing residents?","Yes, definitely",0.35,0.36,0.35,0.41,0.36,0.32,0.31,0.39,0.34,0.36
"Q14. Do you support economic incentives for companies that provide manufacturing jobs that pay $60,000 or more annually to existing residents?","Yes, somewhat",0.36,0.37,0.35,0.35,0.35,0.37,0.38,0.34,0.36,0.36
"Q14. Do you support economic incentives for companies that provide manufacturing jobs that pay $60,000 or more annually to existing residents?",Not really,0.14,0.09,0.17,0.1,0.16,0.15,0.15,0.13,0.12,0.15
"Q14. Do you support economic incentives for companies that provide manufacturing jobs that pay $60,000 or more annually to existing residents?",Definitely not,0.04,0.01,0.05,0.02,0.04,0.04,0.04,0.03,0.04,0.04
"Q14. Do you support economic incentives for companies that provide manufacturing jobs that pay $60,000 or more annually to existing residents?",Unsure,0.11,0.17,0.08,0.12,0.1,0.12,0.12,0.1,0.14,0.1
"Q15. Do you think Austin should provide additional support, like affordable housing and tax incentives, for people in creative industries, such as musicians, entertainers and artists?","Yes, definitely",0.26,0.31,0.23,0.27,0.26,0.25,0.28,0.24,0.36,0.23
"Q15. Do you think Austin should provide additional support, like affordable housing and tax incentives, for people in creative industries, such as musicians, entertainers and artists?","Yes, somewhat",0.28,0.31,0.26,0.28,0.24,0.3,0.29,0.27,0.28,0.28
"Q15. Do you think Austin should provide additional support, like affordable housing and tax incentives, for people in creative industries, such as musicians, entertainers and artists?",Not really,0.29,0.25,0.31,0.29,0.29,0.29,0.28,0.29,0.27,0.29
"Q15. Do you think Austin should provide additional support, like affordable housing and tax incentives, for people in creative industries, such as musicians, entertainers and artists?",Definitely not,0.11,0.06,0.14,0.09,0.13,0.11,0.1,0.12,0.06,0.13
"Q15. Do you think Austin should provide additional support, like affordable housing and tax incentives, for people in creative industries, such as musicians, entertainers and artists?",Unsure,0.06,0.07,0.06,0.07,0.08,0.05,0.05,0.08,0.04,0.07
Q16. The city of Austin gives companies looking to build in Austin economic incentives if they agree to pay an hourly wage of at least $11 per hour. Do you believe this is the right hourly wage?,"Yes, definitely",0.42,0.56,0.35,0.5,0.39,0.41,0.44,0.41,0.49,0.41
Q16. The city of Austin gives companies looking to build in Austin economic incentives if they agree to pay an hourly wage of at least $11 per hour. Do you believe this is the right hourly wage?,"No, the wage should be more",0.37,0.27,0.42,0.34,0.37,0.38,0.4,0.34,0.4,0.36
Q16. The city of Austin gives companies looking to build in Austin economic incentives if they agree to pay an hourly wage of at least $11 per hour. Do you believe this is the right hourly wage?,"No, the wage should be less",0.07,0.06,0.07,0.04,0.08,0.07,0.04,0.09,0.02,0.08
Q16. The city of Austin gives companies looking to build in Austin economic incentives if they agree to pay an hourly wage of at least $11 per hour. Do you believe this is the right hourly wage?,Unsure,0.14,0.11,0.16,0.12,0.16,0.14,0.12,0.17,0.09,0.16
Q17. How optimistic or pessimistic are you about the newly elected representatives in the mayor's office?,Very optimistic,0.06,0.07,0.05,0.06,0.06,0.05,0.06,0.05,0.05,0.06
Q17. How optimistic or pessimistic are you about the newly elected representatives in the mayor's office?,Somewhat optimistic,0.32,0.25,0.36,0.25,0.34,0.35,0.32,0.33,0.35,0.32
Q17. How optimistic or pessimistic are you about the newly elected representatives in the mayor's office?,Somewhat pessimistic,0.19,0.16,0.2,0.14,0.19,0.2,0.22,0.16,0.19,0.18
Q17. How optimistic or pessimistic are you about the newly elected representatives in the mayor's office?,Very pessimistic,0.07,0.07,0.06,0.05,0.08,0.06,0.07,0.06,0.08,0.06
Q17. How optimistic or pessimistic are you about the newly elected representatives in the mayor's office?,Unfamiliar,0.23,0.32,0.18,0.34,0.2,0.19,0.21,0.25,0.2,0.24
Q17. How optimistic or pessimistic are you about the newly elected representatives in the mayor's office?,Undecided,0.14,0.14,0.14,0.16,0.12,0.15,0.13,0.15,0.12,0.15
Q18. How optimistic or pessimistic are you about the newly elected representatives in City Council?,Very optimistic,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.04,0.02,0.04
Q18. How optimistic or pessimistic are you about the newly elected representatives in City Council?,Somewhat optimistic,0.31,0.25,0.34,0.24,0.34,0.32,0.33,0.29,0.38,0.29
Q18. How optimistic or pessimistic are you about the newly elected representatives in City Council?,Somewhat pessimistic,0.19,0.17,0.21,0.15,0.2,0.21,0.2,0.18,0.19,0.19
Q18. How optimistic or pessimistic are you about the newly elected representatives in City Council?,Very pessimistic,0.07,0.05,0.08,0.04,0.1,0.07,0.08,0.06,0.08,0.07
Q18. How optimistic or pessimistic are you about the newly elected representatives in City Council?,Unfamiliar,0.26,0.37,0.2,0.41,0.22,0.22,0.23,0.29,0.22,0.27
Q18. How optimistic or pessimistic are you about the newly elected representatives in City Council?,Undecided,0.13,0.12,0.14,0.13,0.12,0.13,0.12,0.14,0.11,0.13
"Q19. The city of Austin is now divided into 10 single member districts, each with its own council member, and one mayor who is voted on at-large.  How optimistic or pessimistic are you about the new 10-1 City Council structure?",Very optimistic,0.09,0.1,0.09,0.08,0.09,0.1,0.09,0.09,0.09,0.09
"Q19. The city of Austin is now divided into 10 single member districts, each with its own council member, and one mayor who is voted on at-large.  How optimistic or pessimistic are you about the new 10-1 City Council structure?",Somewhat optimistic,0.34,0.24,0.4,0.28,0.4,0.33,0.37,0.31,0.42,0.32
"Q19. The city of Austin is now divided into 10 single member districts, each with its own council member, and one mayor who is voted on at-large.  How optimistic or pessimistic are you about the new 10-1 City Council structure?",Somewhat pessimistic,0.15,0.16,0.15,0.15,0.11,0.18,0.16,0.15,0.13,0.16
"Q19. The city of Austin is now divided into 10 single member districts, each with its own council member, and one mayor who is voted on at-large.  How optimistic or pessimistic are you about the new 10-1 City Council structure?",Very pessimistic,0.06,0.05,0.06,0.03,0.07,0.06,0.06,0.05,0.06,0.05
"Q19. The city of Austin is now divided into 10 single member districts, each with its own council member, and one mayor who is voted on at-large.  How optimistic or pessimistic are you about the new 10-1 City Council structure?",Unfamiliar,0.22,0.31,0.17,0.37,0.2,0.16,0.19,0.24,0.17,0.23
"Q19. The city of Austin is now divided into 10 single member districts, each with its own council member, and one mayor who is voted on at-large.  How optimistic or pessimistic are you about the new 10-1 City Council structure?",Undecided,0.14,0.14,0.14,0.1,0.12,0.17,0.13,0.15,0.12,0.14
Q20. How supportive are you of the coming Innovation Zone in the northeast corner of downtown? This zone will include Austin's new medical school and teaching hospital among other additions.,Very supportive,0.23,0.28,0.2,0.23,0.25,0.21,0.23,0.24,0.24,0.23
Q20. How supportive are you of the coming Innovation Zone in the northeast corner of downtown? This zone will include Austin's new medical school and teaching hospital among other additions.,Somewhat supportive,0.28,0.24,0.3,0.25,0.29,0.28,0.29,0.27,0.25,0.29
Q20. How supportive are you of the coming Innovation Zone in the northeast corner of downtown? This zone will include Austin's new medical school and teaching hospital among other additions.,Neutral,0.23,0.19,0.26,0.2,0.2,0.26,0.24,0.23,0.25,0.23
Q20. How supportive are you of the coming Innovation Zone in the northeast corner of downtown? This zone will include Austin's new medical school and teaching hospital among other additions.,Somewhat unsupportive,0.04,0.04,0.04,0.01,0.05,0.05,0.06,0.02,0.05,0.04
Q20. How supportive are you of the coming Innovation Zone in the northeast corner of downtown? This zone will include Austin's new medical school and teaching hospital among other additions.,Very unsupportive,0.03,0.01,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.03
Q20. How supportive are you of the coming Innovation Zone in the northeast corner of downtown? This zone will include Austin's new medical school and teaching hospital among other additions.,Unfamiliar,0.15,0.21,0.12,0.24,0.12,0.13,0.13,0.17,0.14,0.15
Q20. How supportive are you of the coming Innovation Zone in the northeast corner of downtown? This zone will include Austin's new medical school and teaching hospital among other additions.,Undecided,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.05,0.03,0.04
"Q21. How familiar are you with the ""10 Goals in 10 Years"" effort (also known as ""10-10"")? This effort officially kicked off several years ago, and is related to enhancing Austin's economic, healthcare, and technology infrastructure over the coming decade.",Very familiar,0.05,0.07,0.04,0.03,0.06,0.05,0.06,0.04,0.09,0.04
"Q21. How familiar are you with the ""10 Goals in 10 Years"" effort (also known as ""10-10"")? This effort officially kicked off several years ago, and is related to enhancing Austin's economic, healthcare, and technology infrastructure over the coming decade.",Somewhat familiar,0.23,0.26,0.21,0.23,0.24,0.21,0.23,0.22,0.17,0.24
"Q21. How familiar are you with the ""10 Goals in 10 Years"" effort (also known as ""10-10"")? This effort officially kicked off several years ago, and is related to enhancing Austin's economic, healthcare, and technology infrastructure over the coming decade.",Unfamiliar,0.72,0.67,0.75,0.74,0.7,0.74,0.71,0.74,0.74,0.72
"Q22. Assuming an increase in taxes for projects that involve lots of new construction, how supportive are you of the following transportation initiatives/infrastructure projects? (Reporting Very/Somewhat Supportive)",More dedicated express lanes on Austin's major highways,0.7,0.71,0.7,0.71,0.69,0.71,0.66,0.74,0.64,0.72
"Q22. Assuming an increase in taxes for projects that involve lots of new construction, how supportive are you of the following transportation initiatives/infrastructure projects? (Reporting Very/Somewhat Supportive)",Expanding service on the most frequently used bus routes,0.69,0.69,0.69,0.77,0.69,0.66,0.75,0.64,0.77,0.67
"Q22. Assuming an increase in taxes for projects that involve lots of new construction, how supportive are you of the following transportation initiatives/infrastructure projects? (Reporting Very/Somewhat Supportive)",Above ground rail system,0.63,0.65,0.62,0.71,0.65,0.59,0.66,0.61,0.66,0.62
"Q22. Assuming an increase in taxes for projects that involve lots of new construction, how supportive are you of the following transportation initiatives/infrastructure projects? (Reporting Very/Somewhat Supportive)",Underground subway system,0.52,0.61,0.47,0.62,0.52,0.47,0.56,0.48,0.58,0.5
"Q22. Assuming an increase in taxes for projects that involve lots of new construction, how supportive are you of the following transportation initiatives/infrastructure projects? (Reporting Very/Somewhat Supportive)",Dedicated bicycle lanes throughout major Austin roadways,0.49,0.54,0.46,0.57,0.51,0.44,0.54,0.44,0.6,0.46
"Q22. Assuming an increase in taxes for projects that involve lots of new construction, how supportive are you of the following transportation initiatives/infrastructure projects? (Reporting Very/Somewhat Supportive)",Moving I-35 underground,0.47,0.53,0.44,0.47,0.49,0.45,0.5,0.44,0.51,0.46
"Q22. Assuming an increase in taxes for projects that involve lots of new construction, how supportive are you of the following transportation initiatives/infrastructure projects? (Reporting Very/Somewhat Supportive)",Converting lanes in the downtown area to be for buses only,0.41,0.47,0.39,0.37,0.45,0.42,0.43,0.4,0.45,0.4
Q23. Do you think the Austin Police Department (APD) treats people of all races and ethnicities fairly and equally?,"Yes, definitely",0.22,0.22,0.21,0.27,0.2,0.2,0.18,0.25,0.13,0.24
Q23. Do you think the Austin Police Department (APD) treats people of all races and ethnicities fairly and equally?,"Yes, somewhat",0.32,0.31,0.32,0.22,0.31,0.37,0.31,0.33,0.32,0.32
Q23. Do you think the Austin Police Department (APD) treats people of all races and ethnicities fairly and equally?,Not really,0.2,0.2,0.21,0.18,0.24,0.2,0.23,0.18,0.22,0.2
Q23. Do you think the Austin Police Department (APD) treats people of all races and ethnicities fairly and equally?,Definitely not,0.12,0.1,0.13,0.08,0.13,0.13,0.16,0.09,0.19,0.1
Q23. Do you think the Austin Police Department (APD) treats people of all races and ethnicities fairly and equally?,Unsure,0.14,0.18,0.12,0.26,0.12,0.1,0.13,0.16,0.14,0.14
Q24. Do you think APD officers should be equipped with body cameras?,Yes,0.82,0.76,0.85,0.79,0.82,0.84,0.79,0.85,0.79,0.83
Q24. Do you think APD officers should be equipped with body cameras?,No,0.07,0.08,0.06,0.12,0.05,0.05,0.09,0.05,0.09,0.06
Q24. Do you think APD officers should be equipped with body cameras?,Unsure,0.11,0.16,0.09,0.09,0.13,0.11,0.12,0.1,0.12,0.11
Q25. Which of the following do you support? (Select all that apply).,State policies to legalize same-sex marriage,0.55,0.62,0.51,0.62,0.53,0.53,0.65,0.45,0.8,0.48
Q25. Which of the following do you support? (Select all that apply).,State policies to legalize marijuana,0.52,0.57,0.5,0.51,0.47,0.56,0.6,0.44,0.67,0.48
Q25. Which of the following do you support? (Select all that apply).,State policies to lessen the impact of climate change,0.49,0.57,0.45,0.58,0.47,0.47,0.58,0.41,0.65,0.45
Q25. Which of the following do you support? (Select all that apply).,"Allowing religious artifacts (e.g., Ten Commandments display) in public spaces",0.45,0.36,0.5,0.39,0.45,0.48,0.37,0.52,0.29,0.5
Q25. Which of the following do you support? (Select all that apply).,"Allowing religious activities (e.g., prayer) in government supported institutions (e.g., schools)",0.44,0.37,0.48,0.44,0.43,0.46,0.35,0.54,0.31,0.48
Q25. Which of the following do you support? (Select all that apply).,Policies to change or end the Affordable Care Act (ObamaCare),0.41,0.43,0.4,0.37,0.38,0.45,0.33,0.49,0.22,0.47
Q25. Which of the following do you support? (Select all that apply).,None of the above,0.05,0.05,0.05,0.04,0.06,0.05,0.04,0.07,0.03,0.06
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Austin (AISD),0.32,0.32,0.33,0.16,0.29,0.39,0.65,0.07,0.83,0.23
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Round Rock,0.12,0.11,0.13,0.08,0.11,0.14,0.05,0.18,0,0.15
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Leander,0.07,0.06,0.08,0.16,0.11,0.02,0.01,0.12,0,0.09
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Pflugerville,0.05,0.04,0.05,0,0.05,0.07,0.03,0.07,0,0.06
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Luling,0.03,0.02,0.04,0.1,0.03,0.02,0,0.06,0,0.04
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Manor,0.03,0.02,0.04,0,0.08,0.01,0.02,0.05,0,0.04
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Del Valle,0.03,0,0.05,0,0,0.06,0.05,0.01,0.05,0.03
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Hays,0.03,0.05,0.01,0,0,0.05,0,0.05,0,0.03
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Georgetown,0.03,0.02,0.03,0,0.02,0.04,0,0.05,0,0.03
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),San Marcos,0.02,0.02,0.02,0.04,0.02,0.01,0,0.03,0,0.02
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Lockhart,0.02,0,0.03,0.07,0.03,0,0,0.03,0,0.02
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Bastrop,0.02,0,0.03,0,0,0.03,0,0.03,0,0.02
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Taylor,0.02,0.02,0.01,0,0.01,0.02,0,0.03,0,0.02
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Lake Travis,0.01,0.01,0.02,0.02,0,0.02,0.01,0.01,0,0.02
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Eanes,0.01,0,0.02,0,0.03,0,0.02,0,0.07,0
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Lago Vista,0.01,0,0.01,0,0,0.01,0,0.01,0,0.01
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Johnson,0,0.01,0,0,0,0,0.01,0,0,0
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Dripping Springs,0,0,0,0,0.01,0,0,0,0,0
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),Other,0.03,0.04,0.02,0.04,0.04,0.02,0.04,0.02,0.02,0.03
Q26. In which of the following school districts do your children currently attend school? (Select all that apply),None of the above,0.16,0.28,0.08,0.33,0.18,0.09,0.13,0.18,0.02,0.18
"Q27. Given the amount you pay in taxes, do you believe your children are getting a public education commensurate with your personal financial investment?","Yes, definitely",0.21,0.18,0.24,0.25,0.17,0.23,0.16,0.26,0.19,0.22
"Q27. Given the amount you pay in taxes, do you believe your children are getting a public education commensurate with your personal financial investment?","Yes, somewhat",0.33,0.33,0.34,0.22,0.33,0.37,0.3,0.36,0.38,0.33
"Q27. Given the amount you pay in taxes, do you believe your children are getting a public education commensurate with your personal financial investment?",Not really,0.21,0.11,0.27,0.2,0.19,0.22,0.21,0.2,0.18,0.21
"Q27. Given the amount you pay in taxes, do you believe your children are getting a public education commensurate with your personal financial investment?",Definitely not,0.14,0.2,0.1,0.09,0.11,0.17,0.21,0.08,0.23,0.12
"Q27. Given the amount you pay in taxes, do you believe your children are getting a public education commensurate with your personal financial investment?",Unsure,0.11,0.18,0.05,0.24,0.18,0.02,0.12,0.1,0.02,0.12
